name,t90,t90_error,t50,t50_error,flux_64,flux_64_error,dec,error_radius,relative_peak_time,relative_peak_time_error,t50_t90,t50_t90_error,cut_t90,cut_peak_time,cut_duration_ratio,cut_flux64,cut_dec,passes_all_cuts
GRB250929838,9.728,2.919,3.328,0.724,4.1615,1.6887,-60.18,11.46,0.18421052631578946,0.055274519563711905,0.34210526315789475,0.1267933564609563,False,True,True,True,False,False
GRB250421443,10.24,0.923,2.816,0.572,8.0791,1.5366,-59.86,3.84,0.25,0.022534179687500003,0.27499999999999997,0.06111214914367481,False,False,True,True,False,False
GRB250312859,5.376,0.362,3.325,0.571,6.9116,1.4377,-50.96,4.87,0.19103422619047616,0.012863539784403343,0.6184895833333334,0.11408599751845547,False,True,True,True,False,False
GRB230709902,3.84,2.36,1.28,0.572,8.6053,2.0948,-59.61,3.93,0.13333333333333333,0.08194444444444444,0.33333333333333337,0.2532916499119611,True,True,True,True,False,False
GRB230731986,10.496,3.566,5.888,1.145,4.3978,1.3407,-58.91,8.33,0.17073170731707318,0.05800583729922664,0.5609756097560975,0.21960243273149754,False,True,True,True,False,False
GRB240517612,24.32,1.493,13.824,1.145,4.3407,2.0249,-58.31,19.54,0.1789473684210526,0.010985543628808863,0.5684210526315789,0.05860256871952839,False,True,True,True,False,False
GRB230815451,5.181,0.859,1.536,0.362,39.4096,10.3806,-58.0539,0.001,0.20941903107508206,0.03472127923055308,0.2964678633468442,0.08542838663343062,False,True,True,False,False,False
GRB250818063,100.098,1.95,33.025,0.923,18.9573,4.384,-58.007,0.05,0.5421986453275789,0.010562522312022008,0.32992667186157565,0.011239928130814491,False,False,True,False,False,False
GRB230320150,16.128,2.064,1.28,0.572,26.2267,3.2277,-57.33,3.57,0.6666666666666667,0.08531746031746032,0.07936507936507936,0.036891973458738424,False,False,True,False,False,False
GRB250601729,3.072,0.429,0.576,0.143,7.3349,0.8652,-57.2892,0.05,0.125,0.0174560546875,0.18749999999999997,0.053408427822836745,True,True,True,True,False,False
GRB251001112,7.04,0.265,4.608,0.572,37.6936,2.5172,-56.23,1.79,0.2363636363636364,0.008897210743801655,0.6545454545454545,0.08490356129543389,False,False,True,False,False,False
GRB251122989,1.536,2.09,0.384,1.012,8.8334,2.8062,-55.632,10.737,0.125,0.17008463541666666,0.25,0.7414876571820392,True,True,True,True,False,False
GRB240205926,47.105,0.362,23.04,0.362,107.026,3.8933,-55.132,0.05,0.3152106995011146,0.0024223813442183096,0.4891200509500053,0.00855497998516409,False,False,True,False,False,False
GRB240118508,26.624,3.916,5.888,0.923,3.4785,0.9845,-55.05,7.06,0.2596153846153846,0.03818561621671597,0.22115384615384617,0.04753914788415062,False,False,True,True,False,False
GRB231103612,43.52,3.167,17.664,1.619,3.9291,1.0307,-55.26,5.17,0.09411764705882353,0.006849048442906573,0.40588235294117647,0.04750096666337763,False,True,True,True,False,False
GRB230911185,85.505,0.724,10.24,0.572,19.6828,2.6735,-55.01,1.13,0.03293374656452839,0.00027886126557182103,0.11975907841646688,0.006766086555444411,False,True,True,False,False,False
GRB230704821,21.76,3.238,6.4,0.724,3.6773,0.9069,-54.87,5.37,0.4588235294117647,0.06827530276816608,0.29411764705882354,0.05497737613977561,False,False,True,True,False,False
GRB250202841,7.104,1.095,2.56,0.286,10.459,1.3667,-54.51,4.05,0.09909909909909909,0.0152749878256635,0.36036036036036034,0.06860087761115813,False,True,True,True,False,False
GRB230807934,52.48,2.415,25.088,1.379,7.2808,1.5974,-50.95,3.48,0.14634146341463414,0.006734272754312909,0.4780487804878049,0.03426956693095951,False,True,True,True,False,False
GRB260204701,33.025,1.448,12.284,0.721,5.6644,1.0727,-50.11,6.38,0.2636790310370931,0.01156115781806846,0.3719606358819077,0.027250902213794212,False,False,True,True,False,False
GRB230129246,72.961,7.209,33.537,1.999,3.1161,0.929,-34.23,11.79,0.2105234303257905,0.020801022590406157,0.4596565288304711,0.053041096830622976,False,True,True,True,False,False
GRB250522714,8.704,0.724,2.048,1.619,3.6173,1.306,-54.3,11.4,0.5294117647058824,0.044036548442906574,0.23529411764705882,0.18703328247105655,False,False,True,True,False,False
GRB221022612,0.256,0.306,0.048,0.036,22.029,1.4579,-53.55,7.26,0.0625,0.07470703125000001,0.1875,0.2645858183816666,True,True,True,False,False,False
GRB220910627,1.6,1.288,0.128,0.668,5.5616,1.6516,-53.52,20.97,0.19999999999999998,0.16099999999999998,0.08,0.4224376995487027,True,True,True,True,False,False
GRB230409936,52.736,1.864,27.136,1.493,4.1361,1.4388,-53.38,10.46,0.14077669902912623,0.004975875435950609,0.5145631067961165,0.03364959091693479,False,True,True,True,False,False
GRB231025283,5.888,3.806,2.56,0.923,3.9378,1.1578,-53.08,16.32,0.21739130434782614,0.14052162098298682,0.4347826086956522,0.3218056060773493,True,True,True,True,False,False
